Timestamp,mempool-size
2017-01-24 16:00:00,26740022.911458332
2017-01-26 08:15:00,22869809.703125
2017-01-28 00:30:00,3418748.6354166665
2017-01-29 16:45:00,8108410.671875
2017-01-31 09:00:00,23463600.567708332
2017-02-02 01:15:00,17174310.296875
2017-02-03 17:30:00,33236470.333333332
2017-02-05 09:45:00,19659360.630208332
2017-02-07 02:00:00,29345302.489583332
2017-02-08 18:15:00,39335549.203125
2017-02-10 10:30:00,30604226.015625
2017-02-12 02:45:00,16586124.354166666
2017-02-13 19:00:00,6993892.145833333
2017-02-15 11:15:00,10270636.484375
2017-02-17 03:30:00,17737484.723958332
2017-02-18 19:45:00,20742661.015625
2017-02-20 12:00:00,13038433.109375
2017-02-22 04:15:00,39514557.046875
2017-02-23 20:30:00,61170756.192708336
2017-02-25 12:45:00,49630356.942708336
2017-02-27 05:00:00,14972633.161458334
2017-02-28 21:15:00,34328214.171875
2017-03-02 13:30:00,49847431.328125
2017-03-04 05:45:00,63666980.046875
2017-03-05 22:00:00,53008245.84375
2017-03-07 14:15:00,59700077.192708336
2017-03-09 06:30:00,55695426.057291664
2017-03-10 22:45:00,49442924.447916664
2017-03-12 15:00:00,46565569.828125
2017-03-14 07:15:00,24731069.229166668
2017-03-15 23:30:00,28366083.583333332
2017-03-17 15:45:00,27761868.90625
2017-03-19 08:00:00,12050211.098958334
2017-03-21 00:15:00,6157747.067708333
2017-03-22 16:30:00,10522061.802083334
2017-03-24 08:45:00,7579074.682291667
2017-03-26 01:00:00,4584399.885416667
2017-03-27 17:15:00,3195900.3229166665
2017-03-29 09:30:00,12015113.078125
2017-03-31 01:45:00,5501944.817708333
2017-04-01 18:00:00,12683528.776041666
2017-04-03 10:15:00,1928508.7239583333
2017-04-05 02:30:00,17366242.458333332
2017-04-06 18:45:00,13447108.114583334
2017-04-08 11:00:00,33406889.302083332
2017-04-10 03:15:00,2764947.2395833335
2017-04-11 19:30:00,9169819.822916666
2017-04-13 11:45:00,19847388.947916668
2017-04-15 04:00:00,37448470.109375
2017-04-16 20:15:00,7771934.182291667
2017-04-18 12:30:00,11152783.8125
2017-04-20 04:45:00,17630472.395833332
2017-04-21 21:00:00,24780720.697916668
2017-04-23 13:15:00,24954235.833333332
2017-04-25 05:30:00,20477667.833333332
